Date,Returns_Nasdaq,Returns_S&P/TSX,Returns_S&P Merval,Returns_S&P Lima General,Returns_Bovespa,Returns_S&P CLX IPSA,Returns_FTSE BIVA Real Time Price,Volatility_Nasdaq,Volatility_S&P/TSX,Volatility_S&P Merval,Volatility_S&P Lima General,Volatility_Bovespa,Volatility_S&P CLX IPSA,Volatility_FTSE BIVA Real Time Price,Returns_DAX,Returns_FTSE 100,Returns_CAC 40,Returns_RTSI,Returns_IBEX 35,Returns_AEX,Returns_SMI,Returns_OMXS30,Returns_WIG20,Returns_BEL 20,Returns_ATX,Returns_Oslo OBX,Returns_TA 35,Returns_OMXC20,Returns_ISEQ Overall,Returns_	FTSE/Athex 20,Returns_FTSE Czech Republic,Returns_Budapest SE,Returns_SAX,Volatility_DAX,Volatility_FTSE 100,Volatility_CAC 40,Volatility_RTSI,Volatility_IBEX 35,Volatility_AEX,Volatility_SMI,Volatility_OMXS30,Volatility_WIG20,Volatility_BEL 20,Volatility_ATX,Volatility_Oslo OBX,Volatility_TA 35,Volatility_OMXC20,Volatility_ISEQ Overall,Volatility_	FTSE/Athex 20,Volatility_FTSE Czech Republic,Volatility_Budapest SE,Volatility_SAX,Returns_SZSE Component,Returns_Nikkei 1000,Returns_BSE Sensex,Returns_KOSPI,Returns_IDX Composite,Returns_Taiwan Weighted,Returns_SET,Returns_Hang Seng,Returns_PSEi Composite,Returns_KLCI,Returns_Karachi 100,Returns_S&P/ASX 200,Returns_NZX 50,Volatility_SZSE Component,Volatility_Nikkei 1000,Volatility_BSE Sensex,Volatility_KOSPI,Volatility_IDX Composite,Volatility_Taiwan Weighted,Volatility_SET,Volatility_Hang Seng,Volatility_PSEi Composite,Volatility_KLCI,Volatility_Karachi 100,Volatility_S&P/ASX 200,Volatility_NZX 50,Global crisis event 1D
2018-02-22,-0.0011227935170392063,-0.0010208758376425392,0.0024927820653217014,-0.0007677443406883537,0.007340629704099646,0.0034200387934908,0.007760094385322073,1.2606652819052705e-06,1.042187475882356e-06,6.2139624251895275e-06,5.894313726589949e-07,5.388484445271006e-05,1.1696665348982006e-05,6.0219064869107164e-05,-0.0006882610850698747,-0.004015428583451683,0.0013306445976423345,0.00757661212593322,0.005401083191484861,-0.002456427790839512,-0.0024013706920001034,-0.000787551644389303,0.002167702918523242,0.007208901812806072,-0.0029395542879242062,-6.722463113005206e-05,-0.001938972952139969,0.012925231555125514,-0.002739586352320648,0.006107852888492595,0.0025772689574576017,-0.008450635112195421,-0.009147421045759363,4.7370332122156126e-07,1.6123666708800792e-05,1.77061504523473e-06,5.740505130683831e-05,2.917169964134029e-05,6.034037491608686e-06,5.7665812003970556e-06,6.202375925802952e-07,4.698935942974181e-06,5.1968265346678665e-05,8.640979411653587e-06,4.519151030571565e-09,3.7596161091303866e-06,0.00016706161075361232,7.505333381821553e-06,3.730586690746734e-05,6.642315279074593e-06,7.141323379947012e-05,8.367531178840132e-05,0.06369089121511398,0.007264154868027679,-0.0054923628225569746,0.021143303920596917,0.013366533372558442,0.027635894327477244,0.0012195532800355153,0.0482377372843471,0.0013960656255923203,0.019184836097709018,-0.006418584732847726,0.01915419619110051,0.021335528189256246,0.004056529623775483,5.276794594669023e-05,3.0166049374606016e-05,0.00044703930067872897,0.00017866421439971856,0.000763742655279489,1.487310202845384e-06,0.00232687929831369,1.9489992309604768e-06,0.00036805793609595897,4.119822997274591e-05,0.0003668832317271692,0.0004552047631145479,0.0
2018-02-26,0.011396636641440484,0.004861409288653828,0.0053551276388923335,0.0019131276804303082,0.004115561466226692,-0.012737195087371063,-0.0017137790986264106,0.00012988332673702385,2.3633300271809718e-05,2.867739202882858e-05,3.660057521628651e-06,1.693784618229e-05,0.00016223613869374956,2.937038798888752e-06,0.0052127158186454385,0.005114861477470692,0.006576272422681745,0.017984739956626535,0.0026189540170418915,0.010588828569318235,0.006522363917991968,0.008276328230665559,-0.0008548924435236059,0.0034247682868719094,-0.002144364543286381,0.010898379524141731,0.006256482149843887,0.01850263124468761,-0.00510546937094666,-0.0066946089824433935,-0.005039546348993495,-0.000599237730613972,0.010473201642507693,2.7172406205956384e-05,2.6161807933713674e-05,4.324735897732442e-05,0.000323450871307479,6.85892014337986e-06,0.00011212329047041005,4.254123107872353e-05,6.84976089817117e-05,7.308410899937616e-07,1.1729037818763553e-05,4.598299294503809e-06,0.00011877467625223176,3.914356889131519e-05,0.00034234736297689014,2.6065817497674486e-05,4.481778942781177e-05,2.5397027403653668e-05,3.5908585779138323e-07,0.00010968795264462583,0.02159525622810438,0.008329866806740121,0.008852931285825505,0.0024973684700224682,-0.00988738531320703,0.0038971444874344387,0.014343067886882563,0.007374435103939307,0.003821418950900835,-0.000763116777772404,-0.00826617277856214,0.0070420486994592435,0.004664041262895454,0.000466355091557481,6.938668101803086e-05,7.837439235154804e-05,6.236849275062364e-06,9.776038833182207e-05,1.5187735155940633e-05,0.00020572359640772184,5.4382293102212344e-05,1.4603242798304039e-05,5.823472165177366e-07,6.832961240504173e-05,4.9590449885555626e-05,2.1753280901991426e-05,0.0
2018-02-27,-0.012351108413816201,-0.002772592319443058,-0.01228388669981083,-0.00013265110951333656,-0.008225124841119721,-0.004918723837617512,-0.009237893887957496,0.00015254987904984136,7.687268169834635e-06,0.0001508938724537894,1.759631685511921e-08,6.765267865200472e-05,2.419384419074674e-05,8.533868348516247e-05,-0.0029027387729077376,-0.0009785871383731126,-6.175039929206761e-05,-0.010457472760014182,-0.0002221930462717108,-0.000892077298180483,-0.0037283676850503144,0.0007999521715079214,0.005333191389372218,0.0044160333278090505,0.005643966449895201,-0.0017837418038333587,0.0015298978747424463,-0.01255900411338305,-0.0011418941981828073,0.0011452515218242215,0.007650429730014696,-0.00410490659428151,0.0013540963477292301,8.425892383741919e-06,9.576327873892775e-07,3.813111812729784e-09,0.00010935873652643864,4.936974981150262e-08,7.958019059289905e-07,1.390072559492744e-05,6.399234767002389e-07,2.8442930395673966e-05,1.9501350352320277e-05,3.185435728754264e-05,3.1817348227426843e-06,2.340587507141454e-06,0.00015772858431997236,1.3039223598435563e-06,1.3116010482406955e-06,5.852907505389273e-05,1.6850258147775823e-05,1.8335769189336402e-06,-0.008112253394405605,0.009103281774636898,-0.0028887041192023604,-0.0006145968987405154,0.006729741978223004,-0.001961004998889584,-0.00206845624523274,-0.007326782422259572,0.010811953424271324,0.006099377351044465,0.001954230117950284,0.002429934000563555,0.0023771170968735363,6.580865513504526e-05,8.28697390684363e-05,8.344611488296684e-06,3.7772934794145933e-07,4.528942709345687e-05,3.8455406056699375e-06,4.278511238442326e-06,5.368174066313185e-05,0.0001168983368486124,3.720240407043419e-05,3.819015353903981e-06,5.904579247094804e-06,5.65068569224847e-06,0.0
2018-03-05,0.009980478496821606,0.010133350544666483,0.0072786153462586775,0.0007552551528257978,0.003050344655502839,-0.0012558644739755981,0.0027054114371056312,9.960995102551846e-05,0.00010268479326109251,5.297824135879233e-05,5.704103458699193e-07,9.304602517354734e-06,1.5771955769940058e-06,7.319251044021957e-06,-0.028132808032122023,-0.016160219090269715,-0.029228642803710486,-0.004647218088503957,-0.025681892758817826,-0.01707994707435116,-0.01106433276622209,-0.022643103485259726,-0.014579269061612549,-0.02212584359563054,-0.02103945357597504,-0.021811511666357326,-0.01597432989043554,-0.027006739873453024,-0.01076033774061737,-0.04857843060833182,-0.009337531261371268,-0.026382444779596607,0.013801100529883465,0.0007914548877722293,0.00026115268104551773,0.0008543135601468967,2.1596635962118367e-05,0.0006595596156754195,0.0002917245920626367,0.00012241945956169577,0.0005127101354441811,0.00021255508637089285,0.000489552954818305,0.00044265860677560894,0.0004757420411716417,0.0002551792154484623,0.0007293639985923575,0.00011578486829215451,0.00235986392036851,8.71894900570857e-05,0.0006960333925484643,0.00019047037583594967,0.006285990349638918,-0.05542081132975605,-0.017611913171712266,-0.03356831159220997,-0.007352392750785536,-0.01608451345297621,-0.011815661413104136,-0.045213125154707434,-0.024291843551790707,-0.015530403042396886,0.019214396340315593,-0.027093584049842287,-0.009681443823608098,3.9513674675753605e-05,0.0030714663284484166,0.000310179485567932,0.0011268315431516983,5.405767916180371e-05,0.00025871157301897267,0.00013960985462911803,0.002044226686255238,0.0005900936631446758,0.00024119341865929046,0.00036919302672273327,0.0007340622966658684,9.373035450967938e-05,1.0
2018-03-06,0.005618030515040859,0.00025155638582432274,0.022501084695256607,0.00930971618932287,-0.004310451931347751,0.0017480361598815027,0.0018338609963135372,3.156226686793026e-05,6.328061524899553e-08,0.0005062988124631111,8.667081552574036e-05,1.857999585245956e-05,3.0556304162532703e-06,3.3630461538000792e-06,0.0019004547805495156,0.004314748682365832,0.0005804133866966342,0.0014994497018562265,-0.0004171533516190892,0.003507544809677335,-0.0048366284384191195,0.007722344256883595,0.004030320621035081,0.00239536380503231,0.012188649205716566,0.01991971642848168,0.003609453376272891,0.0005481565834835635,0.013394747504840593,0.006289267102251701,0.005855314223699879,0.02366228123259382,-0.01559584241931233,3.6117283729135078e-06,1.861705619197768e-05,3.368796994566567e-07,2.2483494083967263e-06,1.7401691876703946e-07,1.2302870591894413e-05,2.3392974651324572e-05,5.9634600821823044e-05,1.6243484308340604e-05,5.737767758458867e-06,0.00014856316946001508,0.00039679510259112296,1.3028153675487774e-05,3.004756400163729e-07,0.0001794192607184333,3.955488068346551e-05,3.428470465826212e-05,0.0005599035531303617,0.00024323030076802188,0.012088635273969374,0.012578407270529127,-0.012811225205380625,0.015188938335649655,-0.007736022091088061,0.013202078695128981,-0.005449091214219825,0.020675232201298625,-0.0030991778849772064,0.0031156977675607924,-0.0028324957644448832,0.011368550596012793,0.00576006756510635,0.0001461351027870566,0.0001582163294633,0.00016412749126297984,0.0002307038477641677,5.98460377938025e-05,0.00017429488187237853,2.9692595060887683e-05,0.0004274652265776156,9.60490356273179e-06,9.707572578783305e-06,8.023032255598204e-06,0.00012924394265410283,3.31783783545902e-05,0.0
2018-03-07,0.003331395359248095,-0.004679902021898474,-0.003701657045371161,-0.008510458157371252,-0.0019750264984809748,0.0002577075754159176,-0.004590973662368937,1.1098195039619742e-05,2.1901482934569426e-05,1.3702264881545953e-05,7.242789804836687e-05,3.90072966970202e-06,6.641319442675085e-08,2.1077039168565254e-05,0.010796012610969158,0.001550551567278905,0.0033983230330666783,-0.00882589206197383,0.001303026854714973,0.004437863138156494,0.002160595961386892,0.0027207591372505114,0.008537893314024715,0.0032604249587225723,-0.0021530034858809697,-0.006931555499109219,-0.0017828205694615227,0.0024022513643009993,0.005288170822392405,0.00374002181295369,-0.003665752976712869,0.004665164173274846,0.0018246269812529409,0.00011655388829620509,2.4042101627910682e-06,1.1548599437071508e-05,7.789637068961267e-05,1.697878984108395e-06,1.969462923300821e-05,4.668174908361348e-06,7.402530282932147e-06,7.289562224166794e-05,1.0630370911461087e-05,4.6354240102156065e-06,4.8046461637231256e-05,3.1784491828951082e-06,5.7708116172860125e-06,2.7964750646802365e-05,1.3987763161369406e-05,1.343774488627926e-05,2.1763756763607178e-05,3.32926362071622e-06,-0.00939725638688323,-0.00730324458627119,-0.008563993810143408,-0.003984855363247357,-0.020491252694584655,-0.0036247709182144557,-0.009730017836612915,-0.010338492598936643,0.005305140832709548,-0.005680554139778902,-0.006056960936576863,-0.010181808064599337,-0.0052155186850299075,8.830842760081766e-05,5.3337381486899444e-05,7.334198998017461e-05,1.587907226600123e-05,0.0004198914369933229,1.3138964209533268e-05,9.467324710080547e-05,0.00010688442921826774,2.8144519254882155e-05,3.2268695334959224e-05,3.668677578721807e-05,0.0001036692154643401,2.7201635153896094e-05,0.0
2018-03-12,0.003630582702173858,0.0017304526712050017,0.0018477551215058897,-0.003168839584256275,0.006106060951932089,0.002901566719523472,0.002875980473252449,1.3181130757324032e-05,2.9944664472805257e-06,3.4141989890512454e-06,1.0041544310749482e-05,3.7283980348709806e-05,8.419089427846203e-06,8.271263682529381e-06,0.014031348746087496,0.00792066815776091,0.016987299454968248,0.010190622193738898,0.013266746727997145,0.014441764738149811,0.02094066127055886,0.018771806622678924,0.008083128836269516,0.01847582772663726,0.013136145757275428,0.00530334710246076,0.00961914549169292,0.012515505725315162,0.0003591698169740605,0.040467659253893194,0.016069902306060736,0.016529645393392516,0.0012842147896624091,0.00019687874763433115,6.273698406536762e-05,0.00028856834277276455,0.0001038487806955238,0.00017600656874482295,0.00020856456875206728,0.0004385112944482838,0.00035238072387925234,6.533697178373177e-05,0.00034135621018437816,0.00017255832535638524,2.812549048917894e-05,9.252795999035623e-05,0.00015663788356039658,1.2900295742518014e-07,0.0016376314454892074,0.00025824176012633615,0.0002732291768313024,1.6492076259876657e-06,0.01166559564694529,0.015242030969832112,0.018172289530089706,0.00998072437174247,0.010417590412101989,0.012556117055421106,0.013955574970525117,0.01911273516705945,0.009626836722990684,0.009338446440695673,0.009249310837915286,0.005502008143611857,0.008778981267247753,0.0001360861217980289,0.00023231950808532125,0.00033023210676540795,9.961485898469412e-05,0.00010852618999431928,0.00015765607550943678,0.0001947580727579471,0.00036529664556615097,9.267598529112202e-05,8.720658192574168e-05,8.554975097637717e-05,3.0272093612371192e-05,7.707051209068697e-05,0.0
2018-03-13,-0.01023897469700855,0.0027102342750050475,-0.00796844157822826,-0.002524649513701882,-0.005955558795415214,-0.003923901992515696,-0.0024704120128077015,0.00010483660284598132,7.345369825412136e-06,6.349606118563688e-05,6.37385516703515e-06,3.546868056564752e-05,1.5397006846868648e-05,6.102935513024599e-06,-0.016020200229272218,-0.0105870342348151,-0.006448998062605063,0.0020397207517125326,-0.0036870767649562664,-0.011037041868252592,-0.010063014639729122,-0.00988664980298002,-0.010862918386295748,-0.008027194944091424,-0.010121497172326363,-0.0012162118509411158,0.005501048654501412,-0.008524533148898337,-0.009350641583262993,-0.004367742061666264,-0.000570361311226576,-0.004103439757579463,0.0006265757839519543,0.0002566468153859736,0.00011208529388914695,4.158957601148385e-05,4.160460744966739e-06,1.3594535070680367e-05,0.00012181629320156067,0.00010126426363940264,9.774584432676487e-05,0.00011800299586732221,6.443585867044692e-05,0.00010244470500941058,1.4791712663696148e-06,3.0261536299191797e-05,7.26676654066666e-05,8.743449801864706e-05,1.9077170717248667e-05,3.2531202534409907e-07,1.6838217844083803e-05,3.9259721303500613e-07,-0.007520524924230973,0.005393986573972019,-0.001804803224607932,0.004165827408391471,-0.013604535209733246,0.008465173438428264,0.005307168253388484,0.000225331502518922,-0.004021798728319039,0.0015086238684385955,0.004760261318657827,-0.0035753705344397126,0.0010804665123487784,5.655829513597928e-05,2.90950911601904e-05,3.2573146795551896e-06,1.7354117996505602e-05,0.0001850833782728716,7.165916134267139e-05,2.816603486977457e-05,5.0774286027434954e-08,1.6174865011108638e-05,2.2759459764226326e-06,2.266008782190995e-05,1.2783274458539716e-05,1.167407884307133e-06,0.0
2018-03-14,-0.0018923498763978826,0.0004134086302818557,-0.004730377214440552,-0.006760664867197184,-0.0038623297354138525,-0.0022934036502751227,-0.008183668249249754,3.5809880547030816e-06,1.7090669559152007e-07,2.2376468590898357e-05,4.5706589446554323e-05,1.491759098506204e-05,5.259700303095257e-06,6.697242601377854e-05,0.0013663812693601083,-0.0008534510277711556,-0.0018002801691256987,-0.02728599427584413,-0.00033023395311521206,-0.0029149330929442606,-0.0013058972856270746,0.004526696861210857,-0.007272387078845796,-0.010420637653696488,-0.006455698921068917,-0.008285429808108605,-0.0019392701495679447,-0.0029487524522266674,0.00014977346791016435,-0.007023572148955001,-0.005042948158175381,0.005868633027663017,0.013745106498938528,1.8669977732581409e-06,7.283786568036417e-07,3.2410086873472545e-06,0.0007445254836213986,1.0905446379010008e-07,8.496834936341593e-06,1.7053677206081612e-06,2.0490984473296228e-05,5.288761382456329e-05,0.00010858968910963704,4.167604855949037e-05,6.86483471050946e-05,3.7607687130052787e-06,8.695141024512784e-06,2.243209168983703e-08,4.933056573157637e-05,2.543132612604447e-05,3.444085361337718e-05,0.00018892795266716215,-0.0090952611348283,-0.004737587265150066,-0.0006216344339829589,-0.0033771267115979796,-0.0047251185372279075,-0.005134997817911494,0.0019319410971299046,-0.005280765664359454,-0.008448128793673133,-0.0037462185281743397,-0.004834208563897441,-0.006616312968895508,-0.004792455775143029,8.272377511071818e-05,2.2444733094912077e-05,3.8642936951331365e-07,1.1404984826188582e-05,2.23267451908548e-05,2.6368202589955807e-05,3.7323964027794993e-06,2.788648600187775e-05,7.137088011448908e-05,1.4034153260836717e-05,2.336957243925936e-05,4.377559730237489e-05,2.296763235670177e-05,0.0
2018-03-19,-0.018589249863111213,-0.007791553478446596,-0.02584795360334183,-0.00445039600730477,-0.011528632002674524,-0.0036050524042830195,0.0,0.00034556021047318024,6.070830560749325e-05,0.000668116705480512,1.980602462183424e-05,0.0001329093558530912,1.2996402837626779e-05,0.0,-0.001694558029452698,-0.012664165609313757,-0.002012203965033482,-0.007951993180139751,-0.0025216263374586026,0.0010353039541579692,-0.006560864588812204,-0.02419740623599759,-0.03815055304999145,-0.0022089321652628705,0.009186584072081162,-0.016999117439260737,-0.008164732248686345,-0.0008498842038519203,-0.0010039108411436328,-0.017572791661071823,0.0034184484201608845,-0.03139836981044029,-0.007323011524241443,2.871526915182611e-06,0.0001603810905801253,4.048964796896467e-06,6.323419553698912e-05,6.358599385764886e-06,1.0718542774951264e-06,4.304494415272993e-05,0.000585514468549895,0.001455464698020212,4.8793813107329135e-06,8.43933269134153e-05,0.0002889699937137785,6.666285269273878e-05,7.223031599570125e-07,1.0078369769657164e-06,0.0003088030067634354,1.1685789601300447e-05,0.000985857626753168,5.3626497784172976e-05,0.001570552425694088,-0.009411603502384524,-0.0076515764134610165,-0.007623301156897331,-0.0024423332759216402,0.0017395563083081225,-0.006628757087974617,0.00037419228937168576,-0.0003168689008760901,0.0008391237875068043,0.004059483053158402,0.0016794307319640438,0.0017726238052728556,2.466634921853584e-06,8.857828048609663e-05,5.854662161103295e-05,5.811472052875218e-05,5.9649918306741305e-06,3.026056149774584e-06,4.3940420531373724e-05,1.400198694252234e-07,1.004059003424214e-07,7.041287307597645e-07,1.6479402658880264e-05,2.820487583465284e-06,3.142195155020019e-06,0.0
