Date,Returns_Nasdaq,Returns_S&P/TSX,Returns_S&P Merval,Returns_S&P Lima General,Returns_Bovespa,Returns_S&P CLX IPSA,Returns_FTSE BIVA Real Time Price,Volatility_Nasdaq,Volatility_S&P/TSX,Volatility_S&P Merval,Volatility_S&P Lima General,Volatility_Bovespa,Volatility_S&P CLX IPSA,Volatility_FTSE BIVA Real Time Price,Classification_1D_Americas
2018-02-15,0.01566698711982276,0.005165952457407002,0.01485927053841749,0.0017670138311587304,0.008913628377438379,0.01245364803762037,0.008442208166587714,0.00024545448541269223,2.668706479218944e-05,0.000220797920933882,3.1223378795062543e-06,7.945277085107476e-05,0.0001550933494449257,7.127087872800029e-05,0
2018-02-16,-0.0023316948456910945,0.0029150741795800276,0.020204737065981353,-0.006545272587581672,0.0027722508513977483,-0.0014913264991224446,0.0013934047772383889,5.436800853422417e-06,8.49765747245417e-06,0.00040823139990544074,4.2840593245748075e-05,7.68537478307554e-06,2.224054726984807e-06,1.941576873230764e-06,0
2018-02-20,-0.0007185397371428779,-0.0008545880240729711,0.004539939364418512,-0.005172038537430379,0.01501827685990633,0.009163337716855253,-0.003993554966618078,5.162993538533561e-07,7.303206908889451e-07,2.061104943259676e-05,2.6749982632664975e-05,0.00022554863984079797,8.396675811314204e-05,1.5948481271399917e-05,0
2018-02-21,-0.0022279891589616994,0.005462583161501061,0.006569502332070535,0.002556762628685432,0.0028861392345821057,0.005820775031313246,-0.0025967717261971535,4.963935692450861e-06,2.9839814796314925e-05,4.315836089108019e-05,6.53703513944244e-06,8.329799681394182e-06,3.3881421965159716e-05,6.743223397976944e-06,0
2018-02-22,-0.0011227935170392063,-0.0010208758376425392,0.0024927820653217014,-0.0007677443406883537,0.007340629704099646,0.0034200387934908,0.007760094385322073,1.2606652819052705e-06,1.042187475882356e-06,6.2139624251895275e-06,5.894313726589949e-07,5.388484445271006e-05,1.1696665348982006e-05,6.0219064869107164e-05,0
2018-02-23,0.017501735615046504,0.008365643513933901,-0.011610772218264715,0.0038121362842242585,0.006977881962108268,0.002868696833216144,-0.005315291414641265,0.00030631074953898726,6.998399140222435e-05,0.00013481003150442775,1.4532383049499137e-05,4.869083667711593e-05,8.229421520904334e-06,2.8252322822559137e-05,0
2018-02-26,0.011396636641440484,0.004861409288653828,0.0053551276388923335,0.0019131276804303082,0.004115561466226692,-0.012737195087371063,-0.0017137790986264106,0.00012988332673702385,2.3633300271809718e-05,2.867739202882858e-05,3.660057521628651e-06,1.693784618229e-05,0.00016223613869374956,2.937038798888752e-06,0
2018-02-27,-0.012351108413816201,-0.002772592319443058,-0.01228388669981083,-0.00013265110951333656,-0.008225124841119721,-0.004918723837617512,-0.009237893887957496,0.00015254987904984136,7.687268169834635e-06,0.0001508938724537894,1.759631685511921e-08,6.765267865200472e-05,2.419384419074674e-05,8.533868348516247e-05,0
2018-02-28,-0.007861223496462733,-0.014686337652085657,0.015096000351875442,0.001282517637487217,-0.018353398990958617,-0.006973875005138035,-0.011964096275544265,6.179883486133776e-05,0.00021568851363106884,0.00022788922662382347,1.6448514904657926e-06,0.0003368472545213208,4.8634932587289025e-05,0.00014313959969049214,0
2018-03-01,-0.012785916144059249,-0.0031605295756016684,-0.03069480253735278,-0.003912254023345763,0.00028114237703628,-0.01346021265342117,0.004076233167951922,0.00016347965164291493,9.988947198252863e-06,0.0009421709028070786,1.5305731543185112e-05,7.90410361656098e-08,0.00018117732467531938,1.661567683951136e-05,0
2018-03-02,0.010707585767370001,-0.0006082160030036546,-0.0035150542976837215,0.003959776437493348,0.004475901336439849,0.003171566947717723,-0.0014775248468491802,0.00011465239296558462,3.6992670630974157e-07,1.23556067156648e-05,1.567982943492751e-05,2.0033692773544026e-05,1.0058836903855515e-05,2.1830796730566934e-06,0
2018-03-05,0.009980478496821606,0.010133350544666483,0.0072786153462586775,0.0007552551528257978,0.003050344655502839,-0.0012558644739755981,0.0027054114371056312,9.960995102551846e-05,0.00010268479326109251,5.297824135879233e-05,5.704103458699193e-07,9.304602517354734e-06,1.5771955769940058e-06,7.319251044021957e-06,0
2018-03-06,0.005618030515040859,0.00025155638582432274,0.022501084695256607,0.00930971618932287,-0.004310451931347751,0.0017480361598815027,0.0018338609963135372,3.156226686793026e-05,6.328061524899553e-08,0.0005062988124631111,8.667081552574036e-05,1.857999585245956e-05,3.0556304162532703e-06,3.3630461538000792e-06,0
2018-03-07,0.003331395359248095,-0.004679902021898474,-0.003701657045371161,-0.008510458157371252,-0.0019750264984809748,0.0002577075754159176,-0.004590973662368937,1.1098195039619742e-05,2.1901482934569426e-05,1.3702264881545953e-05,7.242789804836687e-05,3.90072966970202e-06,6.641319442675085e-08,2.1077039168565254e-05,0
