Date,Returns_SZSE Component,Returns_Nikkei 1000,Returns_BSE Sensex,Returns_KOSPI,Returns_IDX Composite,Returns_Taiwan Weighted,Returns_SET,Returns_Hang Seng,Returns_PSEi Composite,Returns_KLCI,Returns_Karachi 100,Returns_S&P/ASX 200,Returns_NZX 50,Volatility_SZSE Component,Volatility_Nikkei 1000,Volatility_BSE Sensex,Volatility_KOSPI,Volatility_IDX Composite,Volatility_Taiwan Weighted,Volatility_SET,Volatility_Hang Seng,Volatility_PSEi Composite,Volatility_KLCI,Volatility_Karachi 100,Volatility_S&P/ASX 200,Volatility_NZX 50,Classification_1D_Asia
2011-11-02,0.0018691116853271413,-0.043353296787432896,-0.019277794250747344,-0.016444567684428046,-0.017629875331789394,-0.0023148964855206513,-0.007612286498378101,-0.014365470251018473,-0.017060895800264438,-0.0073626114485122246,0.01582510277566348,-0.03952305826000605,-0.005037323240867299,3.4935784922264663e-06,0.0018795083423392394,0.00037163335117414734,0.00027042380632773515,0.0003108125042144362,5.358745738675863e-06,5.794690573338953e-05,0.00020636673553289675,0.0002910741655074807,5.4208047341763275e-05,0.00025043387786031194,0.0015620721342238326,2.5374625432981827e-05,0
2011-11-04,0.01106525760127564,0.018075560039647935,0.005581920803415723,0.015889860304260955,0.0054593823399957326,0.000628877881594038,-0.008829505495522024,0.005512376092440675,0.002651156657126606,0.004449787905775265,0.017821551274347085,0.022798865995241994,0.00689691139291702,0.00012243992578258835,0.00032672587074691726,3.115783985560523e-05,0.00025248766048892806,2.980485553425728e-05,3.954873899582049e-07,7.796016729545362e-05,3.0386290184511528e-05,7.028631620626721e-06,1.9800612406383817e-05,0.0003176076898241822,0.0005197882906690018,4.7567386761748584e-05,0
2011-11-11,-0.02657173286809505,-0.030275134326860617,-0.02128035561371187,-0.03426622083635764,-0.0012535505679850086,-0.031523225344832664,0.014168303886592659,-0.03620819976644269,0.009607886896968586,-0.005946539554389388,0.005173384599225314,0.003590751852884934,-0.0029396756869693973,0.0007060569876134029,0.000916583758509454,0.0004528535350460383,0.0011741738904060307,1.5713890264955377e-06,0.0009937137361411004,0.00020074083502283663,0.0013110337303266204,9.231149062494064e-05,3.536133267191754e-05,2.6763908211501662e-05,1.2893498868996585e-05,8.641693144558998e-06,1
2011-11-14,0.021529832148551618,0.009287526373271796,-0.00431808493155406,0.02090213262959655,0.01422790632001781,0.021267253981519525,0.013614837589787316,0.019201347585523762,0.010129466310673721,0.006866583727286251,-0.0009022882440694571,0.00188348057680115,-0.003664128999410857,0.00046353367234480675,8.625814613421916e-05,1.8645857476114234e-05,0.00043689914846524474,0.00020243331825120273,0.0004522960919144581,0.00018536380259628568,0.0003686917491000992,0.00010260608773907389,4.7149972083832346e-05,8.141240753859443e-07,3.5474990831871922e-06,1.3425841324323608e-05,0
2011-11-15,-0.005905235949384558,-0.006986564300105522,-0.01388611785942106,-0.008809932064859817,-0.005021666443672981,-0.00460687609684955,0.0007007744351783769,-0.008222068718266785,0.0015732865662927676,-0.0011163396049202413,-0.001205708387168081,-0.004423652763328222,0.002254350083097958,3.487181161790374e-05,4.881208071950896e-05,0.00019282426920573252,7.761490298744516e-05,2.5217133871511247e-05,2.1223307371723746e-05,4.910848089995731e-07,6.760241400790123e-05,2.475230619677287e-06,1.2462141135134806e-06,1.453732714887455e-06,1.9568703770501412e-05,5.0820942971637696e-06,0
2011-11-16,-0.0258117068410349,-0.009259217434560285,-0.006346107610739299,-0.016060459740357465,6.554858266637235e-05,-0.013918219540847305,0.012249911013323223,-0.02023283201605311,-0.005079645859532849,-0.0002572730425896363,-0.00010339028424025252,-0.008953534558552197,-0.010883986965518575,0.000666244210047528,8.573310750046515e-05,4.027308180708325e-05,0.000257938367071643,4.29661668957025e-09,0.00019371683518722377,0.0001500603198343376,0.00040936749138982374,2.5802802058269218e-05,6.61894184433288e-08,1.068955087528021e-08,8.016578109118848e-05,0.00011846117226557823,0
2011-11-17,-0.000986588970762765,0.004826890306724856,-0.01890446633735063,0.011037580510808167,-0.005742593683375371,3.925462240597373e-05,-0.0037478252752080068,-0.007593270390101872,-0.0016043745690388907,-0.007728659859897261,-0.006638472413056091,0.002539504750793675,-0.00020724883344338244,9.733577972307318e-07,2.3298870033154373e-05,0.00035737884750002306,0.00012182818353257226,3.297738221234271e-05,1.540925380235575e-09,1.4046194293487971e-05,5.7657755217197834e-05,2.5740177577787263e-06,5.973218322998715e-05,4.4069315978906764e-05,6.449084379303646e-06,4.295207896364288e-08,0
2011-11-18,-0.027351713644950447,-0.010619444351764944,-0.00549444903182271,-0.020184546786800858,-0.010004389931843194,-0.021069623502907794,-0.009324784133534844,-0.017489128033539247,-0.0074631964235406835,-0.007582565689133822,0.0020451782571755265,-0.019253250261816804,-0.009140201699617823,0.0007481162393153685,0.00011277259834023238,3.018897016329751e-05,0.00040741592898855286,0.00010008781790836546,0.00044392903455428453,8.695159913702317e-05,0.00030586959937352836,5.569930085635045e-05,5.7495302430029476e-05,4.182754103623524e-06,0.00037068764564414885,8.354328710969653e-05,1
2011-11-21,0.0008594663462732452,-0.004369500799338422,-0.026328343809123488,-0.01046139842470952,-0.020088565096187932,-0.026778621248829702,-0.019587847891784412,-0.014455649592107371,-0.0006882200715732627,-0.014069915814162929,-0.003610184933650013,-0.0033573173021998483,0.0017426185171917595,7.386824003762819e-07,1.9092537235419108e-05,0.0006931816877314111,0.00010944085700051482,0.00040355044762378,0.0007170945559882737,0.00038368378503168306,0.000208965805129794,4.7364686691630687e-07,0.00019796253101763206,1.303343525515355e-05,1.1271579467650468e-05,3.0367192964596066e-06,1
2011-11-22,-0.0005572727475855136,0.0006034182048603926,0.007454850791105975,0.003428126583235842,0.015023153993263172,-0.006068665114608897,0.01265442152753067,0.001411283482187543,-0.002263303105347922,0.0027227765448399636,-0.01080148564061622,-0.0072324326832431274,-0.0013182094543010298,3.105529152015076e-07,3.641135299569388e-07,5.5574800317653376e-05,1.175205187068825e-05,0.0002256951559052992,3.6828696273271014e-05,0.00016013438419643165,1.9917210670953973e-06,5.122540946677547e-06,7.41351211313065e-06,0.00011667209204443838,5.230808251764338e-05,1.7376761654086188e-06,0
