Date,Returns_EUR/USD,Returns_GBP/USD,Returns_CAD/USD,Returns_AUD/USD,Returns_NZD/USD,Returns_CNY/USD,Returns_DKK/USD,Returns_HKD/USD,Returns_INR/USD,Returns_JPY/USD,Returns_KRW/USD,Returns_MYR/USD,Returns_MXN/USD,Returns_NOK/USD,Returns_SEK/USD,Returns_CHF/USD,Returns_TWD/USD,Returns_THB/USD,Returns_XAU/USD,Volatility_EUR/USD,Volatility_GBP/USD,Volatility_CAD/USD,Volatility_AUD/USD,Volatility_NZD/USD,Volatility_CNY/USD,Volatility_DKK/USD,Volatility_HKD/USD,Volatility_INR/USD,Volatility_JPY/USD,Volatility_KRW/USD,Volatility_MYR/USD,Volatility_MXN/USD,Volatility_NOK/USD,Volatility_SEK/USD,Volatility_CHF/USD,Volatility_TWD/USD,Volatility_THB/USD,Volatility_XAU/USD,Classification_1D_Global
2018-02-16,-0.00802830259418036,-0.004051034288166978,-0.00625862601200298,-0.004035823361622976,-0.0025680895373677154,0.0,-0.007772834350752803,-0.0007821666413627273,-0.007697279825566488,-0.0018057257017630266,-0.0031965930256273693,0.0,-0.0009254975209429212,-0.002331909334978714,-0.004769484399035169,-0.006104912125114124,-0.0029027596579614626,-0.0031298930089277044,-0.004027904570543692,6.44536425437231e-05,1.6410878803904536e-05,3.917039955812033e-05,1.628787020622178e-05,6.595083871937527e-06,0.0,6.0416953844242745e-05,6.117846548606493e-07,5.924811671307287e-05,3.260645310007575e-06,1.0218206971489539e-05,0.0,8.565456612714929e-07,5.437801146560868e-06,2.2747981432639863e-05,3.7269952055365444e-05,8.426013631888548e-06,9.796230247334518e-06,1.622401522940676e-05,0
2018-02-19,0.00016119932331194926,-0.002638429882985071,-0.0003767660955086294,0.0,-0.0023033679989337857,0.0,0.0,0.0,-0.0019336132353947985,-0.0026614163790422024,0.0,0.0011679970181250662,-0.0009263548601307883,0.0,-0.0015948966698160025,-0.0014856084440770534,0.0014524330803150226,0.0,-0.0008684196422628645,2.5985221836230347e-08,6.961312247428616e-06,1.4195269072481765e-07,0.0,5.305504138512232e-06,0.0,0.0,0.0,3.7388601440939404e-06,7.083137142634108e-06,0.0,1.3642170343490461e-06,8.581333268879324e-07,0.0,2.543695387390175e-06,2.2070324491130434e-06,2.1095618527933846e-06,0.0,7.541526750679615e-07,0
2018-02-20,-0.005657495086790749,-0.0006428342066303144,-0.006932655231947487,-0.003798434549285075,-0.0032608724546975606,0.0,-0.005416805300225212,0.0,-0.007772059847703085,-0.006899345458483633,-0.006424004961355211,-0.0035080916897403383,-0.009311054233089422,-0.007812539736793625,-0.014469705833990747,-0.007461329149649349,-0.005822432751433253,-0.003139720004667641,-0.012854319839537196,3.2007250657061466e-05,4.132358172140258e-07,4.806170856504886e-05,1.4428105025202512e-05,1.0633289165805294e-05,0.0,2.934177966054795e-05,0.0,6.0404914276278505e-05,4.7600967755498735e-05,4.126783974351637e-05,1.2306707303625222e-05,8.669573093153245e-05,6.10357771389794e-05,0.00020937238692222588,5.567143267940708e-05,3.39007231449626e-05,9.857841707710172e-06,0.00016523353853711956,0
2018-02-21,-0.00438632820887107,-0.0055886080827832795,-0.004182780672163592,-0.010072119316906374,-0.003954460733789221,0.0,-0.004839694866963967,0.0,0.0032457022975715556,-0.004087125883073892,-0.0021505384632284734,0.0003903962571543386,-0.006569709223160962,-0.0031421864030726156,-0.003244122877624002,-0.003000189762144551,-0.001460920639674871,-0.0031496089028963314,-0.003941597189778266,1.9239875155938088e-05,3.12325403029506e-05,1.749565415142531e-05,0.00010144758753399851,1.5637759695080785e-05,0.0,2.3422646405317372e-05,0.0,1.0534583404461274e-05,1.6704597984092542e-05,4.624815681825084e-06,1.5240923760011648e-07,4.316107927688621e-05,9.873335391654421e-06,1.0524333245123436e-05,9.001138608876978e-06,2.134289115428034e-06,9.920036241203833e-06,1.5536188406467922e-05,0
2018-02-22,0.003818814309817641,0.0027265569018694127,-0.0002540650420169711,0.005239963424131095,0.002865136007334175,0.0,0.004236012385606084,0.0,-0.002595718524281624,0.009546355883448984,-0.004315001301413348,-0.003519065215195509,0.012166738759879047,0.0015723273679525928,0.0008120179090116785,0.006644542718668732,-0.0014630580517604398,0.0031496089028962013,0.005459823712146063,1.4583342732867986e-05,7.43411253913173e-06,6.45490455750853e-08,2.745721668623167e-05,8.209004340522816e-06,0.0,1.794380093100815e-05,0.0,6.7377546572987725e-06,9.113291065346103e-05,1.8619236231198888e-05,1.2383819988799014e-05,0.00014802953205114312,2.472213352012728e-06,6.593730845556986e-07,4.4149947940213664e-05,2.140538862821054e-06,9.920036241203013e-06,2.980967496771242e-05,0
2018-02-23,-0.0030864222031895027,0.0007878809991066289,0.005827227028983419,-0.00012747785089600172,-0.006835296605857478,0.0019029501460860636,-0.0030238910250770063,0.0,0.0025957185242816137,-0.0012818460335553645,0.0043150013014132795,-0.00039177277680349694,0.0037140246963713874,0.0015698590351200523,-0.006514681021193754,-0.004299875759414623,0.0014630580517605368,0.0031397200046676247,-0.001932004585244813,9.526002016341143e-06,6.207564687532598e-07,3.395657484731492e-05,1.6250602469063245e-08,4.672127969004676e-05,3.621219258488971e-06,9.143916931541268e-06,0.0,6.737754657298718e-06,1.6431292537416209e-06,1.8619236231198295e-05,1.5348590864432262e-07,1.3793979445256577e-05,2.4644573901480615e-06,4.2441068807902094e-05,1.8488931546401483e-05,2.1405388628213376e-06,9.857841707710069e-06,3.732641717406982e-06,0
2018-02-26,0.0020316125796475217,0.0,-0.003923310733861216,0.0014013633734845426,0.001918597272100636,0.003163558475192494,0.0018154316635085263,0.0,0.0,-0.00048111619884015546,0.005367699415004134,0.0039108379919991585,-0.007441894810385881,0.0023501773449534514,0.0024479816386400372,-0.0013123361463500153,0.0,0.003129893008927787,0.003170432015946624,4.127449673782058e-06,0.0,1.5392367114430633e-05,1.9638193045439776e-06,3.681015492512002e-06,1.000810222596226e-05,3.295792124869335e-06,0.0,0.0,2.314727967864e-07,2.8812197009835716e-05,1.529465379966401e-05,5.53817983688483e-05,5.523333552732454e-06,5.992614103118762e-06,1.7222261610168089e-06,0.0,9.796230247335035e-06,1.0051639167739375e-05,0
2018-02-27,-0.007006138638090328,-0.004161291698641144,-0.007509740632734391,-0.008309411824927533,-0.00935357575961871,0.0,-0.006672757546368485,0.0,-0.0012970170430450386,-0.0036962677679794947,-0.009682700716417388,-0.0011716462968906355,-0.008438868645864595,-0.005492363748026143,-0.009005382184799106,-0.001032330812904042,-0.0014630580517604398,-0.006269613013595374,-0.011284894364566042,4.90859786161422e-05,1.73163486011797e-05,5.639620437094193e-05,6.904632487624552e-05,8.748937949092672e-05,0.0,4.452569327261756e-05,0.0,1.6822532099492954e-06,1.3662395412604115e-05,9.375469316370979e-05,1.3727550450175392e-06,7.121450402215654e-05,3.016605954063178e-05,8.109690829429711e-05,1.0657069072711202e-06,2.140538862821054e-06,3.930804734024447e-05,0.00012734884081941442,0
2018-02-28,-0.003111441141136891,-0.010770280119795575,-0.004353399961277143,-0.0036008269359423715,-0.0033222621919779594,-0.0018969338599995832,-0.003047853624253321,0.0,-0.005204956448301591,0.006206215415538088,-0.004333701257118305,-0.0023474189183048965,0.0,-0.004731870027833365,-0.008257685238981577,-0.005933058794191338,-0.0014652017273279918,0.0,-0.00011379800865778195,9.68106597475924e-06,0.00011599893385886378,1.895209122284783e-05,1.2965954622608127e-05,1.1037426072246196e-05,3.5983580692129182e-06,9.289411714874104e-06,0.0,2.7091571628716315e-05,3.8517109784062596e-05,1.8780966585948776e-05,5.51037557801573e-06,0.0,2.239059396030773e-05,6.818936550609422e-05,3.5201186655331176e-05,2.146816101764931e-06,0.0,1.2949986774476617e-08,0
2018-03-01,0.006050218766380547,0.0011621151801775185,-0.0005134129236123225,-0.000773295566309255,0.005117222977669869,-0.004440222962734687,0.0054794657646255705,0.0,0.0013037811494835134,0.004098475464214923,0.0021691982475453135,-0.002745638124132076,0.0,0.007874056430905866,0.004962789342129097,0.0028296566701933173,0.0,0.0,-0.0011386929037255334,3.660514712106335e-05,1.3505116919990264e-06,2.6359283013215243e-07,5.979860328735514e-07,2.618597100319248e-05,1.97155799587964e-05,3.002454506570369e-05,0.0,1.6998452857485515e-06,1.6797501130771732e-05,4.705421037153659e-06,7.538528708687506e-06,0.0,6.200076467709002e-05,2.462927805435016e-05,8.006956871169532e-06,0.0,0.0,1.2966215289948867e-06,0
