Date,Returns_Bitcoin,Returns_Ethereum,Returns_Litecoin,Returns_Bitcoin Cash,Returns_Ethereum Classic,Returns_Monero,Returns_Dash,Volatility_Bitcoin,Volatility_Ethereum,Volatility_Litecoin,Volatility_Bitcoin Cash,Volatility_Ethereum Classic,Volatility_Monero,Volatility_Dash,Classification_1D_Global
2017-08-04,0.024084841788072926,-0.01822639789120868,0.013557944939299064,-0.3947862282293627,-0.02115082150943382,0.031411462852869554,-0.0032534229609248125,0.0005800796039565038,0.00033220158008865627,0.00018381787097706512,0.15585616599956648,0.00044735725052392843,0.0009866799985572038,1.0584760962672775e-05,0
2017-08-05,0.12531639731056105,0.13988208982182546,0.06254849963645456,-0.04928890599020311,0.03929778741437001,0.07930657643774706,0.030566045091647714,0.01570419943489839,0.019566999052921245,0.003912314806771557,0.00242939625371108,0.001544316095665018,0.006289533066276218,0.0009342831125446413,0
2017-08-06,-0.00948458178543945,0.040224660126846425,-0.011406133749716017,0.036240085015143586,0.0,-0.017204279663171028,-0.022001935193485134,8.99572916446898e-05,0.0016180232823203085,0.00013009988711641077,0.0013133437619048346,0.0,0.0002959872387286002,0.00048408515225831976,0
2017-08-07,0.05123295840895625,0.019558510310249765,0.014454916599074564,0.3849733800611601,-0.01814696590493616,0.05412223917861887,0.040381219427083025,0.0026248160273338412,0.00038253532555614637,0.00020894461388620136,0.14820450335571442,0.0003293123715549154,0.0029292167737076276,0.0016306428824182275,0
2017-08-08,0.008051219694808721,0.09317946960030545,0.06462005727851085,0.06716202985209523,0.04850982963505397,0.029468421710603012,0.040280592520126016,6.482213857407584e-05,0.008682413554994247,0.004175751802678023,0.00451073825385373,0.0023532035712219607,0.000868387878113939,0.001622526133772432,0
2017-08-09,-0.02378324605301569,-0.006239211857583684,-0.02832230652021036,-0.1283727608969918,-0.04524505363691479,-0.018242306768089498,-0.027994990940387668,0.0005656427928182864,3.892776460381285e-05,0.0008021530466247503,0.016479565740316223,0.0020471148786072963,0.0003327817562210839,0.0007837195177523876,0
2017-08-10,0.022703757683976578,0.00671234468155016,-0.010327839718623185,-0.09723562031564136,-0.00851068966790862,-0.03507733076469341,0.0065110918196654224,0.0005154606129727256,4.505557112393473e-05,0.00010666427325357064,0.009454765858167565,7.243183862344652e-05,0.0012304191335757067,4.2394316684113985e-05,0
2017-08-11,0.06462609064592444,0.042468103209664675,-0.0025456101994338533,0.1756106975301177,-0.003292726056975979,0.02127312812750206,0.027233001435601676,0.004176531592175242,0.0018035397902267311,6.480131287461662e-06,0.03083911708701449,1.084204488628858e-05,0.0004525459803291193,0.0007416363671914829,0
2017-08-12,0.05773593725329699,-0.005162097724979036,-0.016058582963518923,-0.03262702966055856,-0.03422004475114923,-0.018235151107425282,-0.007216023510891504,0.003333438450516647,2.664725292223374e-05,0.0002578780867962202,0.001064523064470968,0.001171011462770656,0.0003325207359106335,5.2070995309738945e-05,0
2017-08-13,0.04815530444472128,-0.03504482094350925,-0.02425023257873326,-0.06162086514888757,-0.03684810339798037,-0.03393641857131095,-0.033031256023838766,0.0023189333461637925,0.0012281394749626244,0.000588073780122656,0.003797131021697387,0.0013577827240282526,0.001151680505447219,0.0010910638745123848,0
2017-08-14,0.0632592731792861,0.005312186785271085,0.00814892737552641,0.010208967704747225,-0.009964495259431716,0.03837548962184904,0.008561264961888325,0.004001735643171547,2.8219328441608744e-05,6.640501737160375e-05,0.00010422302159657183,9.929116577523715e-05,0.0014726782037166436,7.32952577476567e-05,0
2017-08-15,-0.039158791273719865,-0.04183965834290883,-0.056165397115648025,-0.007680606589106561,-0.040881605262128536,-0.019516781300807855,0.017743563344029666,0.001533410934018759,0.0017505570102513404,0.0031545518331584435,5.899171757662712e-05,0.0016713056488084955,0.00038090475234356315,0.00031483404014359326,0
2017-08-16,0.05281315186636617,0.05224738455328965,0.01611082027269827,0.009983332497753006,0.04800921918636066,-0.0022608169120031845,0.13094788186934095,0.0027892290100598564,0.00272978919265933,0.0002595585298591856,9.966692776069129e-05,0.0023048851268840207,5.111293109599615e-06,0.017147347766066873,0
2017-08-17,-0.025040829294100866,-0.0077956219824559265,0.0018248180246291173,0.3920754216649249,-0.01791520505322945,-0.029229638314938366,0.01258310390546065,0.0006270431317363,6.077172209335007e-05,3.3299608230113136e-06,0.15372313627372863,0.00032095457209925797,0.0008543717560221129,0.00015833450389561904,0
2017-08-18,-0.0413927869144078,-0.023689771122404665,0.062071373575816,0.4354611452830003,-0.028604810581663413,-0.015802165249246613,-0.053604997396361306,0.0017133628085415696,0.000561205255831918,0.0038528554175885086,0.18962640905118228,0.0008182351884128432,0.0002497084265644973,0.0028734957458639025,0
2017-08-19,0.010925628612012022,0.00266767147498388,-0.032875497942988406,0.08421707030036976,0.00519481687710393,0.18013089674493876,0.2494064751455339,0.00011936936056761575,7.116471098442669e-06,0.001080798364999435,0.007092514929977423,2.6986122386643828e-05,0.03244713996213579,0.062203589844519826,0
2017-08-20,-0.020421539418848944,0.018912853339208936,0.008595094235933961,-0.041264107829038235,0.018335680533090055,-0.005949715558912865,0.02121202234909549,0.00041703927223560127,0.00035769602143042656,7.38756449245852e-05,0.0017027265949264947,0.0003361971806115376,3.5399115231969824e-05,0.0004499498921385265,0
2017-08-21,-0.015238720496483081,0.076962282447723,0.05174305059436304,-0.1672926796949221,0.06335686395330783,0.33930984977252043,-0.03371086104932451,0.00023221860236993357,0.005923192919563092,0.002677343284810813,0.0279868406795078,0.004014092209997958,0.11513117415265038,0.0011364221526868645,0
